LOCALITY,S_D,S_M,MALARIA,DENGUE,CHICKENGUNIA,VIRAL_FEVER,FLU,TUBERCULOSIS,DIARROHEA,TYPHOID,CHOLERA,JAUNDICE,TEMP_C,RAIN_MM,AQI,VIKHROLI_V,VIKHROLI_F
NAGPADA,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.09,0,159.5,0,0,0
NAGPADA,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,0,150.5666666667,0,0,0
NAGPADA,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.68,0,152.0666666667,0,0,0
NAGPADA,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.84,0,124.2,0,0,0
NAGPADA,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.06,0,94.23,0,0,0
NAGPADA,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.14,0,108.22,0,0,0
NAGPADA,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.05,0,113.3266666667,0,0,0
NAGPADA,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.66,0,122.3,0,0,0
NAGPADA,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,0,104.1466666667,0,0,0
NAGPADA,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.19,0,112.72,0,0,0
NAGPADA,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.55,0,111.2666666667,0,0,0
NAGPADA,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.54,0,113.02,0,0,0
NAGPADA,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.68,0,117.5333333333,0,0,0
NAGPADA,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.86,0,133.7333333333,0,0,0
NAGPADA,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.14,0,141.2666666667,0,0,0
NAGPADA,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.32,0,119.28,0,0,0
NAGPADA,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.17,0,124.2333333333,0,0,0
NAGPADA,18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,122.5666666667,0,0,0
NAGPADA,19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7,0,129.0333333333,0,0,0
NAGPADA,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.19,0,119.4066666667,0,0,0
NAGPADA,21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.08,0,100.8066666667,0,0,0
NAGPADA,22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.99,0,93.35,0,0,0
NAGPADA,23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.23,0,88.7,0,0,0
NAGPADA,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.21,0,103.5666666667,0,0,0
NAGPADA,25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.4,0,115.62,0,0,0
NAGPADA,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.77,0,98.63,0,0,0
NAGPADA,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.86,0,98.57,0,0,0
NAGPADA,28,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31,0,108.5466666667,0,0,0
NAGPADA,29,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.56,0,107.0933333333,0,0,0
NAGPADA,30,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.89,0,107.9133333333,0,0,0
NAGPADA,31,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.87,0,104.2133333333,0,0,0
NAGPADA,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.67,0,117.4733333333,0,0,0
NAGPADA,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0,100.2066666667,0,0,0
NAGPADA,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.97,0,118.7666666667,0,0,0
NAGPADA,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.26,0,129.5133333333,0,0,0
NAGPADA,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.54,0,126.58,0,0,0
NAGPADA,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.06,0,125.14,0,0,0
NAGPADA,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.87,0,119.3066666667,0,0,0
NAGPADA,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,105.4133333333,0,0,0
NAGPADA,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.51,0,110.2533333333,0,0,0
NAGPADA,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.06,0,111.5066666667,0,0,0
NAGPADA,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.08,0,115.6666666667,0,0,0
NAGPADA,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.96,0,109.3533333333,0,0,0
NAGPADA,13,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.66,0,117.5933333333,0,0,0
NAGPADA,14,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9,0,115.4933333333,0,0,0
NAGPADA,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.23,0,103.66,0,0,0
NAGPADA,16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.94,0,96.98,0,0,0
NAGPADA,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.35,0,105.8133333333,0,0,0
NAGPADA,18,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.05,0,105.7533333333,0,0,0
NAGPADA,19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.23,0,102.18,0,0,0
NAGPADA,20,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.27,0,105.3333333333,0,0,0
NAGPADA,21,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.12,0,122.0466666667,0,0,0
NAGPADA,22,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.98,0,109.8466666667,0,0,0
NAGPADA,23,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.57,0,125.5,0,0,0
NAGPADA,24,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.18,0,116.5,0,0,0
NAGPADA,25,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,0,100.5866666667,0,0,0
NAGPADA,26,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.07,0,86.14,0,0,0
NAGPADA,27,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.69,0,91.89,0,0,0
NAGPADA,28,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,0,85.38,0,0,0
NAGPADA,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.58,0,67.24,0,0,0
NAGPADA,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.51,0.11,78.85,0,0,0
NAGPADA,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.06,0.09,91.32,0,0,0
NAGPADA,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.71,0.1,91.62,0,0,0
NAGPADA,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.07,0.1,339.7692307692,0,0,0
NAGPADA,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.05,0.09,312.0615384615,0,0,0
NAGPADA,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.63,0.07,120.2666666667,0,0,0
NAGPADA,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.56,0.1,98.25,0,0,0
NAGPADA,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.2,0.2,100.06,0,0,0
NAGPADA,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7,0.15,189.51,0,0,0
NAGPADA,11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.28,0,171.67,0,0,0
NAGPADA,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.52,0,164.35,0,0,0
NAGPADA,13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.24,0,174.98,0,0,0
NAGPADA,14,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.93,0,116.32,0,0,0
NAGPADA,15,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.59,0,91.8,0,0,0
NAGPADA,16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.34,0,93.5625,0,0,0
NAGPADA,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.14,0,171.23,0,0,0
NAGPADA,18,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.37,4.93,155.53,0,0,0
NAGPADA,19,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.34,0,257.3,0,0,0
NAGPADA,20,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,0,249.14,0,0,0
NAGPADA,21,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.09,0,195.06,0,0,0
NAGPADA,22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.14,0,199.38,0,0,0
NAGPADA,23,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.52,0,92.42,0,0,0
NAGPADA,24,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.93,0,143.16,0,0,0
NAGPADA,25,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.63,0,157.53,0,0,0
NAGPADA,26,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.78,0,125.8,0,0,0
NAGPADA,27,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.22,0,124.8666666667,0,0,0
NAGPADA,28,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.52,0,115.31,0,0,0
NAGPADA,29,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.18,0,125.19,0,0,0
NAGPADA,30,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.77,0,116.76,0,0,0
NAGPADA,31,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.24,0,113.92,0,0,0
NAGPADA,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.87,0,168.77,0,0,0
NAGPADA,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.09,0,108.62,0,0,0
NAGPADA,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.03,0,91.8375,0,0,0
NAGPADA,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.03,0,100.74,0,0,0
NAGPADA,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.29,0,138.8466666667,0,0,0
NAGPADA,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.27,0,142.02,0,0,0
NAGPADA,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.95,0,134,0,0,0
NAGPADA,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.09,0,121.1266666667,0,0,0
NAGPADA,9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.29,0,110.64,0,0,0
NAGPADA,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.81,0,101.2333333333,0,0,0
NAGPADA,11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.69,0,104.7266666667,0,0,0
NAGPADA,12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.62,0,85.69,0,0,0
NAGPADA,13,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.65,0,90.39,0,0,0
NAGPADA,14,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.16,0,89.86,0,0,0
NAGPADA,15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.44,0,91.3,0,0,0
NAGPADA,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.85,0,85.71,0,0,0
NAGPADA,17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.1,0,91.32,0,0,0
NAGPADA,18,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.85,0,98.84,0,0,0
NAGPADA,19,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.34,0,80.61,0,0,0
NAGPADA,20,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.18,0,90.62,0,0,0
NAGPADA,21,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.65,0,96.5,0,0,0
NAGPADA,22,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.28,0,132.66,0,0,0
NAGPADA,23,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.13,0,70.3333333333,0,0,0
NAGPADA,24,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.93,0,75.5833333333,0,0,0
NAGPADA,25,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.42,0,71.0666666667,0,0,0
NAGPADA,26,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8,0,109.42,0,0,0
NAGPADA,27,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9,0,107.56,0,0,0
NAGPADA,28,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.17,0,79.85,0,0,0
NAGPADA,29,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,0,82.53,0,0,0
NAGPADA,30,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.18,0,119.1866666667,0,0,0
NAGPADA,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.12,0,77.66,0,0,0
NAGPADA,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.44,0,90.82,0,0,0
NAGPADA,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,0,98.29,0,0,0
NAGPADA,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,0,88.35,0,0,0
NAGPADA,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.06,0,84.91,0,0,0
NAGPADA,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.14,0,88.46,0,0,0
NAGPADA,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.35,0,116.21,0,0,0
NAGPADA,8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.63,0,84.96,0,0,0
NAGPADA,9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.97,0,83.26,0,0,0
NAGPADA,10,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.99,0,75.02,0,0,0
NAGPADA,11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,0,81.86,0,0,0
NAGPADA,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.64,3.38,78.51,0,0,0
NAGPADA,13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.58,0,79.05,0,0,0
NAGPADA,14,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.35,0,79.03,0,0,0
NAGPADA,15,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0,87.27,0,0,0
NAGPADA,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.47,0,97.5,0,0,0
NAGPADA,17,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.22,0,77.33,0,0,0
NAGPADA,18,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.95,0,75.61,0,0,0
NAGPADA,19,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.77,0,71.96,0,0,0
NAGPADA,20,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.91,0,76.3333333333,0,0,0
NAGPADA,21,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.05,0,76.15,0,0,0
NAGPADA,22,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.03,0,83.4833333333,0,0,0
NAGPADA,23,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.39,0,79.3,0,0,0
NAGPADA,24,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.43,0,73.1333333333,0,0,0
NAGPADA,25,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.53,0,89.8,0,0,0
NAGPADA,26,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.49,0,92.15,0,0,0
NAGPADA,27,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.09,0,76.75,0,0,0
NAGPADA,28,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.45,0,87.3666666667,0,0,0
NAGPADA,29,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.48,0,72.7333333333,0,0,0
NAGPADA,30,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.16,0,69.5,0,0,0
NAGPADA,31,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.35,0,95.8666666667,0,0,0
NAGPADA,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.25,0,74.7666666667,0,0,0
NAGPADA,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.66,0,168.76,0,0,0
NAGPADA,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,6.78,84.81,0,0,0
NAGPADA,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.81,0,81.97,0,0,0
NAGPADA,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.94,0,78,0,0,0
NAGPADA,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.19,0,82.5,0,0,0
NAGPADA,7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.45,0,100.375,0,0,0
NAGPADA,8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.67,0,91.5,0,0,0
NAGPADA,9,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.13,0,88,0,0,0
NAGPADA,10,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.44,0,85,0,0,0
NAGPADA,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.24,0,87,0,0,0
NAGPADA,12,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.64,0,86.5,0,0,0
NAGPADA,13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.16,0,64.05,0,0,0
NAGPADA,14,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.57,0,66.2333333333,0,0,0
NAGPADA,15,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.72,0,67.46667,0,0,0
NAGPADA,16,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.94,0,70.7,0,0,0
NAGPADA,17,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,0.1,59.82,0,0,0
NAGPADA,18,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75,0.08,65.26,0,0,0
NAGPADA,19,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.11,0.13,66.63,0,0,0
NAGPADA,20,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.63,0.1,67.04,0,0,0
NAGPADA,21,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.97,0.11,67.25,0,0,0
NAGPADA,22,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.16,0.07,66.1833333333,0,0,0
NAGPADA,23,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.66,0.1,60.58,0,0,0
NAGPADA,24,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.32,0.1,65.6666666667,0,0,0
NAGPADA,25,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.81,0.1,69.15,0,0,0
NAGPADA,26,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.78,0.11,67.6833333333,0,0,0
NAGPADA,27,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.53,0,69.2,0,0,0
NAGPADA,28,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.58,0.05,68.7,0,0,0
NAGPADA,29,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,0.05,72.6666666667,0,0,0
NAGPADA,30,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.42,0,68.9333333333,0,0,0
NAGPADA,1,7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,8.0,6.0,33.56,0,68.4666666667,0,0,0
NAGPADA,2,7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,8.0,6.0,33.6,0,69.6666666667,0,0,0
NAGPADA,3,7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,8.0,6.0,33.87,0,69.2166666667,0,0,0
NAGPADA,4,7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,8.0,6.0,33.76,0,66.8833333333,0,0,0
NAGPADA,5,7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,7.0,6.0,33.52,0,69.3,0,0,0
NAGPADA,6,7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,7.0,6.0,33.46,0,77.8833333333,0,0,0
NAGPADA,7,7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,7.0,6.0,33.49,0,67.6333333333,0,0,0
NAGPADA,8,7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,7.0,6.0,33.53,0,71.9333333333,0,0,0
NAGPADA,9,7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,7.0,6.0,33.51,0,66.2,0,0,0
NAGPADA,10,7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,8.0,7.0,33.31,0,66.7333333333,0,0,0
